layer,source,kmeans_persona_purity,linear_probe_accuracy,cosine_same_persona,cosine_diff_persona,cosine_same_question,cosine_diff_question,persona_separation_gap,question_separation_gap
0,generated_tokens,0.58125,0.653125,0.6982164431124543,0.5268515015313668,0.5744761511417372,0.547203617474924,0.1713649415810875,0.02727253366681326
4,generated_tokens,0.625,0.671875,0.6914829555325783,0.4303604630713484,0.493831794988364,0.46157673833599216,0.2611224924612299,0.03225505665237183
8,generated_tokens,0.64375,0.7625,0.7166940393403937,0.49108029843441076,0.5559845671057702,0.5178258305325961,0.2256137409059829,0.038158736573174035
12,generated_tokens,0.68125,0.8375,0.7779234766960144,0.5781941438878754,0.6288989920435207,0.6020227017161699,0.19972933280813898,0.026876290327350838
16,generated_tokens,0.821875,0.865625,0.7187377034662625,0.46116537120226503,0.5326750945299864,0.4917575279170146,0.2575723322639975,0.0409175666129718
20,generated_tokens,0.815625,0.86875,0.6829941373557235,0.3876595517966364,0.4662197582423687,0.4228138062571629,0.29533458555908704,0.043405951985205804
24,generated_tokens,0.83125,0.878125,0.7221137708005233,0.42735135215966563,0.4967299181169697,0.46264008409970514,0.29476241864085767,0.034089834017264564
28,generated_tokens,0.834375,0.88125,0.782569487607823,0.5228993744842176,0.5757946765582477,0.5541713850524945,0.25967011312360533,0.02162329150575315
31,generated_tokens,0.828125,0.925,0.5667120982952512,0.15614055037087643,0.2760240836736297,0.2047722992039897,0.4105715479243747,0.07125178446963998
