k,mean_accuracy,std_accuracy
1,0.165625,0.0034938562148434174
2,0.14640625000000002,0.011241316092878085
3,0.198125,0.008580956386091236
4,0.26875,0.008399800034822259
5,0.2821875,0.00922272160210858
6,0.3365625,0.011293319374745403
7,0.36421875,0.01272646418393578
8,0.3609375,0.014192111034831999
